date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:27:28	84100/84100	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-14884%22	http://findmatthew.com/img/slides/mystand-2.jpg	C:/My%20Web%20Sites/porta/findmatthew.com/img/slides/mystand-2.jpg	(from http://findmatthew.com/)
14:27:28	393038/393038	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-5ff4e%22	http://findmatthew.com/img/slides/newrelic-0.jpg	C:/My%20Web%20Sites/porta/findmatthew.com/img/slides/newrelic-0.jpg	(from http://findmatthew.com/)
14:27:31	356803/356803	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-571c3%22	http://findmatthew.com/img/slides/newrelic-2.jpg	C:/My%20Web%20Sites/porta/findmatthew.com/img/slides/newrelic-2.jpg	(from http://findmatthew.com/)
14:27:44	94097/94097	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-16f91%22	http://findmatthew.com/img/slides/never-1.jpg	C:/My%20Web%20Sites/porta/findmatthew.com/img/slides/never-1.jpg	(from http://findmatthew.com/)
14:27:50	511425/511425	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-7cdc1%22	http://findmatthew.com/img/slides/newrelic-1.jpg	C:/My%20Web%20Sites/porta/findmatthew.com/img/slides/newrelic-1.jpg	(from http://findmatthew.com/)
14:27:52	129431/129431	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-1f997%22	http://findmatthew.com/img/slides/never-2.jpg	C:/My%20Web%20Sites/porta/findmatthew.com/img/slides/never-2.jpg	(from http://findmatthew.com/)
14:28:05	123996/123996	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-1e45c%22	http://findmatthew.com/img/slides/powur-0.jpg	C:/My%20Web%20Sites/porta/findmatthew.com/img/slides/powur-0.jpg	(from http://findmatthew.com/)
14:28:08	244514/244514	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-3bb22%22	http://findmatthew.com/img/slides/never-0.jpg	C:/My%20Web%20Sites/porta/findmatthew.com/img/slides/never-0.jpg	(from http://findmatthew.com/)
14:28:17	148916/148916	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-245b4%22	http://findmatthew.com/img/slides/powur-2.jpg	C:/My%20Web%20Sites/porta/findmatthew.com/img/slides/powur-2.jpg	(from http://findmatthew.com/)
14:28:28	124336/124336	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-1e5b0%22	http://findmatthew.com/img/slides/roambi-1.jpg	C:/My%20Web%20Sites/porta/findmatthew.com/img/slides/roambi-1.jpg	(from http://findmatthew.com/)
